fname,ExpID,CellLine,Plate,Day,InitialCondition,Replicate,MountingSolution,SpheroidArea,NecroticArea,GreenPeriphary,OuterRadius,InhibitedRadius,NecroticRadius,ImageDate,ProcessDate,Directory,CyclingParams_1,CyclingParams_2,CyclingParams_3,Dmax,Keep
ExpJK_793b_JK_I_D7_10000_1,ExpJK,793b,JK,7,10000,1,I,182313.814042063,0,153.620465335305,240.898919460968,87.2784541256628,0,09-Jun-2021,10-Aug-2021 14:52:40,Day 7/Adjusted,0.793290005449481,0.0324273955964389,138.732672794369,231.904815070928,1
ExpJK_793b_JK_I_D7_10000_2,ExpJK,793b,JK,7,10000,2,I,191854.289781968,0,132.525057998449,247.121664660082,114.596606661633,0,09-Jun-2021,10-Aug-2021 14:52:41,Day 7/Adjusted,590.655424343564,0.00165957482543916,-1131.81085163917,239.898851419234,1
ExpJK_793b_JK_I_D7_10000_3,ExpJK,793b,JK,7,10000,3,I,194399.987348937,0,138.737953059034,248.755779525161,110.017826466127,0,09-Jun-2021,10-Aug-2021 14:52:42,Day 7/Adjusted,1.25840219475977,0.0112038596825473,75.0746636710426,238.6696780758,1
ExpJK_793b_JK_I_D7_10000_4,ExpJK,793b,JK,7,10000,4,I,233313.510315435,941.649320023026,128.402011637817,272.517883658388,144.115872020571,17.3128936888544,09-Jun-2021,10-Aug-2021 14:52:44,Day 7/Adjusted,1.45160999828936,0.0100060859814227,48.46828074776,263.405252988338,1
ExpJK_793b_JK_I_D7_10000_6,ExpJK,793b,JK,7,10000,6,I,181026.867555469,0,108.22130946382,240.0471653817,131.82585591788,0,23-Jun-2021,10-Aug-2021 14:52:46,Day 7/Adjusted,0.91367728341133,0.0208967590963712,80.1825386792162,228.57402823226,1
ExpJK_793b_JK_I_D7_10000_7,ExpJK,793b,JK,7,10000,7,I,157744.800549042,0,147.846677832072,224.079739175255,76.2330613431832,0,23-Jun-2021,10-Aug-2021 14:52:48,Day 7/Adjusted,1.20589390738589,0.0118408236911767,91.5465272902084,215.032372551745,1
ExpJK_793b_JK_I_D7_10000_8,ExpJK,793b,JK,7,10000,8,I,170591.091108503,0,156.615740604101,233.025386588492,76.4096459843916,0,23-Jun-2021,10-Aug-2021 14:52:49,Day 7/Adjusted,0.998278781408723,0.0106547133094778,92.3486961047836,218.567841436461,1
