fname,ExpID,CellLine,Plate,Day,InitialCondition,Replicate,MountingSolution,SpheroidArea,NecroticArea,GreenPeriphary,OuterRadius,InhibitedRadius,NecroticRadius,ImageDate,ProcessDate,Directory,CyclingParams_1,CyclingParams_2,CyclingParams_3,Dmax,Keep
ExpJK_793b_JK_I_D14_10000_1,ExpJK,793b,JK,14,10000,1,I,272766.222146063,40783.6894995371,77.2760325785318,294.659439227892,217.38340664936,113.937928552141,15-Jun-2021,10-Aug-2021 15:03:42,Day 14/Adjusted,0.79127013196071,0.0621284747032288,69.4834679984185,285.849439706537,1
ExpJK_793b_JK_I_D14_10000_2,ExpJK,793b,JK,14,10000,2,I,251993.546293119,43409.3384238671,56.6598544108646,283.21729650502,226.557442094155,117.548379712418,15-Jun-2021,10-Aug-2021 15:03:43,Day 14/Adjusted,0.704911164458123,0.0908249122858943,51.3559800660974,274.669934703109,1
ExpJK_793b_JK_I_D14_10000_3,ExpJK,793b,JK,14,10000,3,I,281583.659523752,50573.6752725574,57.9756976620964,299.384138882174,241.408441220077,126.878291365796,15-Jun-2021,10-Aug-2021 15:03:45,Day 14/Adjusted,1.0930298134325,0.0512057697817901,47.6522122838723,291.516924729167,1
ExpJK_793b_JK_I_D14_10000_4,ExpJK,793b,JK,14,10000,4,I,275293.380267847,47687.7016387543,58.4581883710732,296.021290687358,237.563102316285,123.204979124216,15-Jun-2021,10-Aug-2021 15:03:46,Day 14/Adjusted,0.937173316779611,0.0778561128542692,52.2095555406631,285.321992736503,1
ExpJK_793b_JK_I_D14_10000_5,ExpJK,793b,JK,14,10000,5,I,247965.465588229,34662.1964425047,75.4956912467916,280.944583732984,205.448892486193,105.039610645194,14-Jul-2021,10-Aug-2021 15:03:47,Day 14/Adjusted,0.864972906655955,0.039669048032377,62.2050986141672,272.750793962233,1
ExpJK_793b_JK_I_D14_10000_6,ExpJK,793b,JK,14,10000,6,I,243275.758433299,35192.5018224848,61.9444075915205,278.275185703251,216.33077811173,105.840073930615,14-Jul-2021,10-Aug-2021 15:03:49,Day 14/Adjusted,0.989018376859051,0.0358905308126834,45.4925503054063,268.828359938014,1
ExpJK_793b_JK_I_D14_10000_7,ExpJK,793b,JK,14,10000,7,I,288367.551507708,41478.5324555344,85.5525355628844,302.969045447743,217.416509884859,114.904425262876,14-Jul-2021,10-Aug-2021 15:03:50,Day 14/Adjusted,1.9806881627901,0.0140224375641299,26.0467536776097,287.32921200053,1
ExpJK_793b_JK_I_D14_10000_8,ExpJK,793b,JK,14,10000,8,I,298933.49030941,55418.2640424708,60.2742468651044,308.469585659448,248.195338794344,132.81634432502,14-Jul-2021,10-Aug-2021 15:03:51,Day 14/Adjusted,1.18033599922003,0.0345731070805924,42.6655999750151,291.766556409123,1
