fname,ExpID,CellLine,Plate,Day,InitialCondition,Replicate,MountingSolution,SpheroidArea,NecroticArea,GreenPeriphary,OuterRadius,InhibitedRadius,NecroticRadius,ImageDate,ProcessDate,Directory,CyclingParams_1,CyclingParams_2,CyclingParams_3,Dmax,Keep
ExpJK_793b_JK_I_D8_10000_1,ExpJK,793b,JK,8,10000,1,I,214422.201910329,0,139.880870477458,261.252189819253,121.371319341794,0,11-Jun-2021,10-Aug-2021 14:54:53,Day 8/Adjusted,2.23796206508067,0.00668229077069093,-5.96843338433984,250.875115799473,1
ExpJK_793b_JK_I_D8_10000_2,ExpJK,793b,JK,8,10000,2,I,184608.07038371,0,139.923336749615,242.409929401516,102.486592651901,0,11-Jun-2021,10-Aug-2021 14:54:54,Day 8/Adjusted,0.733423233517536,0.0224464800355674,116.752805418253,234.62445758326,1
ExpJK_793b_JK_I_D8_10000_3,ExpJK,793b,JK,8,10000,3,I,351716.449466517,0,173.470707419898,334.596507750236,161.125800330338,0,11-Jun-2021,10-Aug-2021 14:54:55,Day 8/Adjusted,0.869604450726853,0.013263070075099,129.630996624336,228.766590946635,1
ExpJK_793b_JK_I_D8_10000_4,ExpJK,793b,JK,8,10000,4,I,161046.366745743,0,116.637254028411,226.412567383417,109.775313355006,0,11-Jun-2021,10-Aug-2021 14:54:57,Day 8/Adjusted,0.602288356689713,0.0254706075175186,95.8875832771656,213.605951869643,1
ExpJK_793b_JK_I_D8_10000_5,ExpJK,793b,JK,8,10000,5,I,194799.357897298,1091.89607371005,158.773470289026,249.011167301719,90.2376970126931,18.6429964047407,09-Jul-2021,10-Aug-2021 14:54:58,Day 8/Adjusted,0.564316963956054,0.0161349736886026,124.302381191356,240.246367091004,1
ExpJK_793b_JK_I_D8_10000_6,ExpJK,793b,JK,8,10000,6,I,192752.294158118,932.765835871866,87.9249815359465,247.699335516135,159.774353980189,17.2310355769031,09-Jul-2021,10-Aug-2021 14:54:59,Day 8/Adjusted,2.85931950721027,0.0100031944848591,-13.2417178801179,239.078757676542,1
