fname,ExpID,CellLine,Plate,Day,InitialCondition,Replicate,MountingSolution,SpheroidArea,NecroticArea,GreenPeriphary,OuterRadius,InhibitedRadius,NecroticRadius,ImageDate,ProcessDate,Directory,CyclingParams_1,CyclingParams_2,CyclingParams_3,Dmax,Keep
ExpJK_793b_JK_I_D4_10000_1,ExpJK,793b,JK,4,10000,1,I,158921.669164931,0,196.655293800538,224.914068977526,28.2587751769877,0,31-May-2021,10-Aug-2021 14:20:59,Day 4/Adjusted,11.1778519584771,0.00214754626034184,-521.189302097906,207.81636321357,1
ExpJK_793b_JK_I_D4_10000_2,ExpJK,793b,JK,4,10000,2,I,197536.243598492,0,Inf,250.754340375216,0,0,31-May-2021,10-Aug-2021 14:21:00,Day 4/Adjusted,15.8351190626048,0.000758328661883879,-1884.77176673397,241.544273610184,1
ExpJK_793b_JK_I_D4_10000_3,ExpJK,793b,JK,4,10000,3,I,190760.076379735,0,184.401365877672,246.415945508493,62.0145796308219,0,31-May-2021,10-Aug-2021 14:21:00,Day 4/Adjusted,1.61633750023798,0.00630366271734033,49.4134835129664,233.508151505448,1
ExpJK_793b_JK_I_D4_10000_4,ExpJK,793b,JK,4,10000,4,I,168610.074233062,0,171.778271297738,231.668412906391,59.8901416086536,0,31-May-2021,10-Aug-2021 14:21:01,Day 4/Adjusted,1.97672727853722,0.00543554072055446,-7.64555738993212,219.240967004441,1
ExpJK_793b_JK_I_D4_10000_5,ExpJK,793b,JK,4,10000,5,I,151844.235880464,0,130.620344728538,219.848860449117,89.2285157205791,0,23-Jun-2021,10-Aug-2021 14:21:02,Day 4/Adjusted,1.06911372893526,0.00952928636015488,45.032282027942,201.981274795714,1
ExpJK_793b_JK_I_D4_10000_6,ExpJK,793b,JK,4,10000,6,I,141564.499763806,0,114.158738702135,212.276658649703,98.1179199475681,0,23-Jun-2021,10-Aug-2021 14:21:03,Day 4/Adjusted,1.43904473446068,0.0103267855201812,32.4775517470548,204.428469421511,1
