fname,ExpID,CellLine,Plate,Day,InitialCondition,Replicate,MountingSolution,SpheroidArea,NecroticArea,GreenPeriphary,OuterRadius,InhibitedRadius,NecroticRadius,ImageDate,ProcessDate,Directory,CyclingParams_1,CyclingParams_2,CyclingParams_3,Dmax,Keep
ExpJK_793b_JK_I_D5_10000_1,ExpJK,793b,JK,5,10000,1,I,189254.90507165,675.531033929562,213.057719612778,245.44186132989,32.3841417171121,14.663840101547,18-Jun-2021,10-Aug-2021 14:48:19,Day 5/Adjusted,0.791681386167443,0.00665405303696154,99.8463007930649,237.670715135899,1
ExpJK_793b_JK_I_D5_10000_3,ExpJK,793b,JK,5,10000,3,I,191018.083556435,847.407140332453,192.955912089355,246.582530678665,53.6266185893093,16.4237045270108,18-Jun-2021,10-Aug-2021 14:48:22,Day 5/Adjusted,58.2026833478748,0.00163386306264916,-898.766703325666,241.526673013769,1
ExpJK_793b_JK_I_D5_10000_4,ExpJK,793b,JK,5,10000,4,I,166559.534257641,679.779656784465,121.533236248626,230.255393839916,108.722157591291,14.7098805291246,18-Jun-2021,10-Aug-2021 14:48:23,Day 5/Adjusted,834.313195800681,0.00171373167734793,-1131.35258964295,221.890415958047,1
ExpJK_793b_JK_I_D5_10000_5,ExpJK,793b,JK,5,10000,5,I,175658.539459078,611.415452664664,210.573480467136,236.461095536729,25.8876150695933,13.9506122857995,09-Jul-2021,10-Aug-2021 14:48:25,Day 5/Adjusted,123.513497889119,0.00128137622359798,-1286.06046816938,222.511839905302,1
ExpJK_793b_JK_I_D5_10000_6,ExpJK,793b,JK,5,10000,6,I,136511.342235561,0,148.257837326481,208.45361548747,60.1957781609888,0,09-Jul-2021,10-Aug-2021 14:48:26,Day 5/Adjusted,1.11256742015941,0.0102644833916999,77.8991337249581,195.616463532623,1
ExpJK_793b_JK_I_D5_10000_7,ExpJK,793b,JK,5,10000,7,I,186723.112088569,0,126.205342647116,243.794611418702,117.589268771585,0,09-Jul-2021,10-Aug-2021 14:48:27,Day 5/Adjusted,157.048829317171,0.0020591621758671,-821.052251623499,235.816571186333,1
