fname,ExpID,CellLine,Plate,Day,InitialCondition,Replicate,MountingSolution,SpheroidArea,NecroticArea,GreenPeriphary,OuterRadius,InhibitedRadius,NecroticRadius,ImageDate,ProcessDate,Directory,CyclingParams_1,CyclingParams_2,CyclingParams_3,Dmax,Keep
ExpJK_793b_JK_I_D10_10000_1,ExpJK,793b,JK,10,10000,1,I,234192.202769517,22161.5892880563,97.5277061610564,273.03057229676,175.502866135703,83.9896003320239,15-Jun-2021,10-Aug-2021 14:59:05,Day 10/Adjusted,1.01528338173085,0.0219831146689294,70.2099330412506,264.988523236861,1
ExpJK_793b_JK_I_D10_10000_2,ExpJK,793b,JK,10,10000,2,I,226822.387070026,23452.0119206227,84.1277196271679,268.700219970501,184.572500343333,86.4002734094882,15-Jun-2021,10-Aug-2021 14:59:07,Day 10/Adjusted,0.858385091713605,0.0270543333725686,62.5326099017296,257.933270424072,1
ExpJK_793b_JK_I_D10_10000_4,ExpJK,793b,JK,10,10000,4,I,227702.238239432,16960.8886752138,75.606957511682,269.220863860489,193.613906348807,73.4766530524032,09-Jul-2021,10-Aug-2021 14:59:09,Day 10/Adjusted,1.86041112630742,0.016552510501484,26.4984616329156,258.049285998171,1
ExpJK_793b_JK_I_D10_10000_6,ExpJK,793b,JK,10,10000,6,I,209672.627796989,8243.4870538357,78.558182485949,258.342544482933,179.784361996984,51.2248321213842,14-Jul-2021,10-Aug-2021 14:59:12,Day 10/Adjusted,1.27143833588827,0.0213787008329963,46.6450899891259,244.596733009681,1
ExpJK_793b_JK_I_D10_10000_7,ExpJK,793b,JK,10,10000,7,I,215672.069506554,16041.254946348,74.9143047224211,262.012503323131,187.09819860071,71.4569103461463,14-Jul-2021,10-Aug-2021 14:59:14,Day 10/Adjusted,1.68487961481236,0.0187611211602618,34.5513663920646,251.609956966462,1
ExpJK_793b_JK_I_D10_10000_8,ExpJK,793b,JK,10,10000,8,I,216655.818816684,1024.69058491431,101.763188363826,262.609384882937,160.846196519112,18.0601534727055,14-Jul-2021,10-Aug-2021 14:59:15,Day 10/Adjusted,0.992895546467093,0.0226009017591178,76.0323627317643,254.368707556903,1
