fname,ExpID,CellLine,Plate,Day,InitialCondition,Replicate,MountingSolution,SpheroidArea,NecroticArea,GreenPeriphary,OuterRadius,InhibitedRadius,NecroticRadius,ImageDate,ProcessDate,Directory,CyclingParams_1,CyclingParams_2,CyclingParams_3,Dmax,Keep
ExpJK_793b_JK_I_D9_10000_1,ExpJK,793b,JK,9,10000,1,I,211467.091595524,11040.2396076859,92.3590749394221,259.445689610347,167.086614670925,59.2808351237082,21-Jun-2021,10-Aug-2021 14:57:20,Day 9/Adjusted,1.66237523636135,0.0148806171506179,40.7767359275162,252.771629994673,1
ExpJK_793b_JK_I_D9_10000_2,ExpJK,793b,JK,9,10000,2,I,211440.054904629,7890.07887999605,92.6590200506202,259.429103632162,166.770083581541,50.1147693826149,21-Jun-2021,10-Aug-2021 14:57:21,Day 9/Adjusted,1.86640133893924,0.0131390463134544,29.7291364724836,248.082984890181,1
ExpJK_793b_JK_I_D9_10000_3,ExpJK,793b,JK,9,10000,3,I,200131.765818643,0,92.0735315220207,252.396354172348,160.322822650327,0,21-Jun-2021,10-Aug-2021 14:57:23,Day 9/Adjusted,0.746790962442985,0.0270367734236723,71.2688489133452,244.823226059524,1
ExpJK_793b_JK_I_D9_10000_4,ExpJK,793b,JK,9,10000,4,I,197551.693030393,0,84.407724894786,250.764146009591,166.356421114805,0,21-Jun-2021,10-Aug-2021 14:57:24,Day 9/Adjusted,0.958418742983209,0.0271546053495191,62.9593554865917,243.915983132104,1
ExpJK_793b_JK_I_D9_10000_5,ExpJK,793b,JK,9,10000,5,I,210150.790987387,6294.14164031798,104.326531886313,258.636954746665,154.310422860352,44.7603341045872,09-Jul-2021,10-Aug-2021 14:57:25,Day 9/Adjusted,1.27717218615509,0.0164933760771845,63.5194935819312,247.043908669388,1
ExpJK_793b_JK_I_D9_10000_6,ExpJK,793b,JK,9,10000,6,I,210026.42220927,1817.63810501573,114.306728285902,258.560411797749,144.253683511847,24.053527357352,09-Jul-2021,10-Aug-2021 14:57:27,Day 9/Adjusted,0.872846299311079,0.0260807514882308,94.0638782754623,248.860215268893,1
ExpJK_793b_JK_I_D9_10000_7,ExpJK,793b,JK,9,10000,7,I,231907.988627344,14284.6425150663,83.8254259910497,271.695795817826,187.870369826776,67.4310235214244,09-Jul-2021,10-Aug-2021 14:57:28,Day 9/Adjusted,11.4722788189168,0.00585117169598688,-159.458635599381,263.367870824443,1
ExpJK_793b_JK_I_D9_10000_8,ExpJK,793b,JK,9,10000,8,I,210655.604630237,5727.52984685047,93.3656874861023,258.947410749419,165.581723263317,42.698119088143,09-Jul-2021,10-Aug-2021 14:57:29,Day 9/Adjusted,1.20777953900123,0.0132410725410068,31.51007244083,248.537943463254,1
