fname,ExpID,CellLine,Plate,Day,InitialCondition,Replicate,MountingSolution,SpheroidArea,NecroticArea,GreenPeriphary,OuterRadius,InhibitedRadius,NecroticRadius,ImageDate,ProcessDate,Directory,CyclingParams_1,CyclingParams_2,CyclingParams_3,Dmax,Keep
ExpJK_793b_JK_I_D6_10000_1,ExpJK,793b,JK,6,10000,1,I,185517.27567466,0,117.01893612112,243.006137587362,125.987201466242,0,18-Jun-2021,10-Aug-2021 14:51:01,Day 6/Adjusted,5.62366613378019,0.00507022614431307,-135.425547397752,232.730257251072,1
ExpJK_793b_JK_I_D6_10000_2,ExpJK,793b,JK,6,10000,2,I,203640.742058351,0,153.406068864113,254.599413642248,101.193344778135,0,18-Jun-2021,10-Aug-2021 14:51:02,Day 6/Adjusted,1.99567112144583,0.00630627332343158,2.12480888819118,246.727895673534,1
ExpJK_793b_JK_I_D6_10000_3,ExpJK,793b,JK,6,10000,3,I,184648.239181611,704.498917031173,117.239156855609,242.436300907962,125.197144052353,14.9749447443654,18-Jun-2021,10-Aug-2021 14:51:03,Day 6/Adjusted,480.512803980061,0.00192707531574388,-959.137714770036,236.575309627044,1
ExpJK_793b_JK_I_D6_10000_4,ExpJK,793b,JK,6,10000,4,I,159385.155209476,0,129.753297526047,225.24180476571,95.4885072396625,0,23-Jun-2021,10-Aug-2021 14:51:05,Day 6/Adjusted,1.19942818600829,0.0130452020963237,77.6833991890219,215.922337370941,1
ExpJK_793b_JK_I_D6_10000_5,ExpJK,793b,JK,6,10000,5,I,171307.563417216,0,117.157837190137,233.514220153199,116.356382963062,0,23-Jun-2021,10-Aug-2021 14:51:06,Day 6/Adjusted,1.42177105750166,0.0100989012238062,33.8208846498922,228.137656427638,1
